pmcid,pmid,doi,created,created_year
PMC3030507,21241515,10.1186/1743-422X-8-23,2011-01-18,2011
PMC3046927,21310026,10.1186/1743-422X-8-62,2011-02-10,2011
PMC3048564,21310053,10.1186/1743-422X-8-64,2011-02-10,2011
PMC3050824,21342525,10.1186/1743-422X-8-76,2011-02-22,2011
PMC3059288,21375748,10.1186/1743-422X-8-98,2011-03-04,2011
PMC3061939,21385403,10.1186/1743-422X-8-107,2011-03-08,2011
PMC3066118,21401943,10.1186/1743-422X-8-118,2011-03-14,2011
PMC3071789,21418610,10.1186/1743-422X-8-130,2011-03-21,2011
PMC3071790,21418614,10.1186/1743-422X-8-131,2011-03-21,2011
PMC3079669,21450075,10.1186/1743-422X-8-146,2011-03-30,2011
PMC3087699,21496278,10.1186/1743-422X-8-174,2011-04-16,2011
PMC3090357,21481279,10.1186/1743-422X-8-163,2011-04-12,2011
PMC3092412,21388562,10.1186/1471-2458-11-S2-S2,2011-03-04,2011
PMC3094301,21510909,10.1186/1743-422X-8-184,2011-04-22,2011
PMC3096946,21496223,10.1186/1743-422X-8-172,2011-04-15,2011
PMC3113310,21595942,10.1186/1743-422X-8-243,2011-05-19,2011
PMC3119933,21492483,10.1186/1743-422X-8-170,2011-04-15,2011
PMC3120787,21619646,10.1186/1743-422X-8-262,2011-05-27,2011
PMC3120790,21639929,10.1186/1743-422X-8-273,2011-06-04,2011
PMC3121704,21595869,10.1186/1743-422X-8-239,2011-05-19,2011
PMC3126774,21619712,10.1186/1743-422X-8-263,2011-05-30,2011
PMC3142240,21679431,10.1186/1743-422X-8-308,2011-06-16,2011
PMC3148564,21708006,10.1186/1743-422X-8-325,2011-06-27,2011
PMC3149004,21749712,10.1186/1743-422X-8-348,2011-07-12,2011
PMC3152912,21729293,10.1186/1743-422X-8-336,2011-07-05,2011
PMC3154182,21714915,10.1186/1743-422X-8-332,2011-06-29,2011
PMC3167654,22460397,10.3134/ehtj.10.163,2010-06-03,2010
PMC3167656,22460396,10.3134/ehtj.10.006,2010-05-20,2010
PMC3167658,22460392,10.3134/ehtj.10.002,2010-10-04,2010
PMC3168426,21843374,10.1186/1743-422X-8-405,2011-08-16,2011
PMC3169389,21904037,10.1107/S1744309111029204,2011-08-13,2011
PMC3169512,21806805,10.1186/1743-422X-8-380,2011-08-01,2011
PMC3177912,21902821,10.1186/1743-422X-8-434,2011-09-08,2011
PMC3179960,21902836,10.1186/1743-422X-8-432,2011-09-08,2011
PMC3184106,21910859,10.1186/1743-422X-8-435,2011-09-12,2011
PMC3199257,21982119,10.1186/1471-227X-11-16,2011-10-07,2011
PMC3199808,21794150,10.1186/1743-422X-8-369,2011-07-27,2011
PMC3200163,21967756,10.1186/1743-422X-8-460,2011-10-04,2011
PMC3212826,22029605,10.1186/1743-422X-8-483,2011-10-27,2011
PMC3212842,22032619,10.1186/1743-422X-8-484,2011-10-27,2011
PMC3219666,21951835,10.1186/1743-422X-8-455,2011-09-28,2011
PMC3224071,22187606,10.4314/pamj.v10i0.72235,2011-10-19,2011
PMC3229973,21990137,10.18632/aging.100370,2011-10-01,2011
PMC3231930,21995317,10.1186/1475-2859-10-S1-S4,2011-08-30,2011
PMC3239431,NA,10.1186/1753-6561-5-S6-O20,2011-06-29,2011
PMC3247839,22166059,10.1186/1472-698X-11-S2-S8,2011-11-08,2011
PMC3260119,22185375,10.1186/1743-422X-8-550,2011-12-20,2011
PMC3266674,22359694,NA,2011-12-14,2011
PMC3271998,22201648,10.1186/1743-422X-8-560,2011-12-28,2011
PMC3274478,22269698,10.1186/1743-422X-9-28,2012-01-23,2012
PMC3278842,22373185,10.1186/1471-2105-12-S13-S25,2011-11-30,2011
PMC3287582,22369688,10.1186/1471-2164-12-S4-S13,2011-12-22,2011
PMC3296551,22188662,10.1186/1743-422X-8-556,2011-12-22,2011
PMC3298799,22340040,10.1186/1743-422X-9-45,2012-02-16,2012
PMC3298800,22340205,10.1186/1743-422X-9-48,2012-02-17,2012
PMC3305475,22369052,10.1186/1743-422X-9-56,2012-02-27,2012
PMC3315793,21414233,10.1186/1743-422X-8-126,2011-03-18,2011
PMC3317576,21356131,10.1186/1471-2458-11-S1-S2,2011-02-25,2011
PMC3317838,22273112,10.1186/1743-422X-9-30,2012-01-24,2012
PMC3327440,22511850,NA,2012-04-07,2012
